,watch_name,Watch Description,Watch Price,Total Rating
165,Fastrack,"Men's Analog White Dial Coloured Quartz Watch, Round Dial Rose Gold Stainless Steel Case - TWNTG0900",284,"1,015"
166,Titan,"Digital 24 Images Projector Watch for Kids Boys Rubber Material Watch, Diwali Gift, Birthday Return Gift, Best Digital Toy Watch for Boy's & Girl's BG-906",999,"3,700"
167,ADAMO,Neo Analog Grey Dial Women's Watch-2648WL01,"1,695",13
168,TIMEX,Analog Men's Watch (Dial Colored Strap),"1,199","14,135"
169,Mobivax,"Bluetooth Smart Watch for Men Women Girls Boys Kids - ID116 Fitness Watch with Heart Rate, Sleep and Pedometer Monitoring, Feature-Rich Activity Tracker",449,379
170,Shocknshop,New Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24 * 7 Heart Rate Monitor|SpO2 Monitor|Sleep Tracker|IP68 Water Resistant|Music & Camera Control,375,"1,517"
171,BENYAR,Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),"2,690",34
172,Fastrack,Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,"1,595",593
173,Shocknshop,"SENS NUTON 1 with 1.7 IPS Display, Orbiter, 5ATM & 150+ Watch Faces & Free Additional Strap (Royal Silver)",489,114
174,SENS,Analog Digital Sports Black Dial Multi Functional Mens Boys Watch -SK1155,"1,099",456
175,Matrix,Trendies Analog Black Dial Men's Watch-NL38048PP01,275,900
176,REDUX,Analog Blue-Grey Dial Men's Watch,245,"2,309"
177,V2A,"Boys and Girls Kids Watch - Waterproof Watch, Gifts for Boys and Girls Age 5-13 for Multi-Functional 30 M Waterproof Digital Sports Watches for 3 4 5 6 7 Year Old Girls",799,0
178,V2A,Black Dial Digital Sports Watch 5ATM Waterproof with Alarm and Stopwatch Wrist Watch for Men and Boys | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,395,705
179,WRIGHTRACK,Analogue Men's Watch (White Dial Brown Colored Strap),"1,999","3,027"
180,CRESTELLO,Black Plated Metal Chain Analog Wrist Watch for Men | CR-BK023-BLK-CH,"5,595","3,347"
181,Fossil,Chronograph White Dial Men's Watch-CH2882,349,5
182,LOUIS DEVIN,Stainless Steel Chain Analog Wrist Watch for Men (Silver/Green/Blue/Black Dial) | LD-CP059,"1,499",205
183,Fossil,Tillie Analog White Dial Women's Watch-BQ3497,"7,145",332
184,boAt,Analog Men's Watch (Dial Colored Strap),355,322
185,TIMEWEAR,"boAt Newly Launched Ultima Call Max with 2"" Big HD Display, Advanced BT Calling, 100+ Sports Modes, 10 Days Battery Life, Multiple Watch Faces, IP68, HR & SpO2, Sedentary Alerts(Cherry Blossom)","1,999","12,928"
186,Sonata,WT030 Leather Strap Analog Wrist Watch for Men,299,696
187,LOUIS DEVIN,Fibre (SF) Analog Silver Dial Men's Watch NL7921PP15 / NL7921PP15,549,"2,148"
188,MARVIK,Analogue Women's Watch (Black Dial),339,736
189,IMPERIOUS - THE ROYAL WAY,"MARVIK Smart Watch D116 for Xiaomi Mi Note 9 Smart Watch Bluetooth SmartWatch with Activity Tracker, Heart Rate Sensor, Sleep Monitor and Basic Functionality for All Boys & Girls",449,40
190,Fire-Boltt,Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,799,"62,531"
191,Shocknshop,"Fire-Boltt Talk 2 Pro Bluetooth Calling Smartwatch, 1.39"" TFT Display with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker with IP68 Rating (Green)","1,799","6,589"
192,Fire-Boltt,Multi Color Army Kids Digital Watch for Boys,249,216
193,SWADESI STUFF,"Noise Scout Kids Smartwatch with Assisted GPS Tracking, 4G Video & Voice Call, Safe Zone Alert, SOS Button, Habit Formation, in-Built Games, Buddy App for Parents (Racing Black)","5,999",140
194,Noise,Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,0,"5,658"
195,V2A,"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance (Champagne Gold)",688,"41,349"
196,Hammer,Cammando Midnight Black Analog Digital Sport Watches for Men's and Boys,"1,799",12
197,TIMEWEAR,The Watch,"2,699","5,504"
198,Ben Stiller,"Hammer Stroke 1.96"" Calling Smart Watch with Strong Metallic Body, in Built Games, 100+ Sports Modes, Customized Watchfaces (Black)","1,299",150
199,boAt,Analog New Track Day Date Functioning Leather Strap Watch for Men,990,"1,443"
